Time: 2025/01/27 14:02:32
Temp (K), Mag (T), Start Mhz, Stop Mhz, Step Mhz, Cnt
0.000000E+0, 8.619282E-1, 3.000000E-1, 8.500000E+3, 8.499700E+3, 2001
S11,S21,S12,S22
-6.426931E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.276624E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.871268E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.590570E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.350199E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.112423E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.926488E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.795258E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.693222E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.686149E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.624228E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.647737E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.873515E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.060182E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.328720E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.532382E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.753329E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.847947E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.017099E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.142676E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.257884E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.431252E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.539132E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.684267E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.838464E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.939946E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.094449E-2,0.000000E+0,0.000000E+0,0.000000E+0
